[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000]
[30,73,125,212,254,308,350,395,464,521,568,621,679,740,799,857,916,980,1036,1095,1190,1231,1290,1367,1422,1465,1523,1581,1648,1706]
[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000]
[25,60,105,149,196,244,294,345,396,447,501,552,606,663,716,768,821,879,934,987,1093,1155,1182,1208,1260,1330,1436,1460,1511,1536]
[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000]
[19,40,69,105,136,171,211,250,305,350,397,431,460,506,556,595,643,686,722,768,816,889,930,958,1005,1047,1091,1142,1182,1233]
[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000]
[6,12,21,31,43,57,71,87,103,120,137,156,174,192,211,231,249,268,288,318,340,361,387,412,415,435,452,475,496,517]
[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000]
[29,72,129,193,263,335,409,490,571,667,755,840,932,1022,1113,1205,1296,1389,1476,1568,1660,1757,1843,1941,2028,2128,2218,2309,2400,2496]
[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000]
[24,61,108,163,223,289,356,426,500,573,649,725,824,904,984,1066,1146,1230,1315,1400,1482,1567,1654,1740,1821,1905,1991,2071,2162,2243]
[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000]
[19,41,70,105,146,191,242,295,354,412,473,536,602,673,735,805,876,947,1012,1084,1159,1235,1311,1383,1458,1532,1615,1688,1773,1839]
[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000]
[5,12,20,30,44,59,77,96,115,133,155,177,199,221,242,267,291,314,339,364,387,410,436,460,486,510,536,562,587,613]
[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000]
[27,68,121,186,257,334,407,492,585,668,761,845,941,1033,1125,1217,1318,1422,1516,1615,1714,1814,1917,2012,2117,2219,2324,2428,2534,2633]
