[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000]
[30,74,123,172,226,282,339,394,456,511,571,629,688,747,807,867,927,988,1048,1105,1170,1229,1292,1352,1413,1474,1534,1598,1657,1720]
[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000]
[25,62,105,150,196,246,297,348,399,453,506,558,609,666,720,775,832,884,938,994,1048,1103,1157,1217,1268,1321,1384,1431,1490,1544]
[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000]
[18,43,74,109,146,187,227,269,312,356,400,445,490,534,580,623,670,715,762,809,854,900,948,994,1041,1089,1134,1182,1231,1277]
[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000]
[6,12,21,31,43,57,72,88,103,119,139,157,176,195,213,231,252,273,291,311,333,353,375,396,417,437,459,478,499,520]
[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000]
[28,72,128,192,262,336,414,490,573,657,759,848,940,1030,1118,1212,1299,1391,1481,1573,1667,1759,1851,1943,2039,2132,2226,2318,2416,2508]
[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000]
[24,60,109,164,225,291,359,430,503,581,653,729,807,912,992,1075,1156,1235,1319,1402,1487,1573,1656,1741,1828,1914,2001,2082,2172,2259]
[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000]
[16,40,71,108,147,192,236,286,331,379,429,483,531,579,632,683,738,789,841,893,950,1001,1057,1110,1163,1219,1272,1329,1384,1436]
[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000]
[5,12,20,31,45,60,77,95,114,133,154,175,198,219,242,265,293,317,340,364,389,414,439,465,488,514,539,565,595,617]
[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000]
