[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000]
[46,79,125,172,231,292,347,423,485,533,587,628,704,757,816,879,921,990,1040,1107,1163,1224,1279,1350,1396,1472,1530,1595,1639,1721]
[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000]
[26,61,104,149,200,248,300,348,401,451,505,558,613,671,715,770,829,885,934,989,1073,1124,1153,1216,1276,1339,1383,1436,1489,1542]
[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000]
[19,44,73,112,146,186,229,271,314,358,401,445,489,534,584,624,666,715,764,809,853,904,939,986,1038,1079,1131,1170,1225,1272]
[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000]
[7,12,21,31,44,57,73,91,103,122,139,159,175,195,217,231,251,269,291,309,331,353,376,394,421,445,457,475,496,522]
[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000]
[29,72,129,192,262,341,415,495,581,656,759,859,938,1024,1117,1204,1293,1396,1483,1576,1665,1757,1849,1939,2034,2178,2222,2319,2413,2511]
[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000]
[27,64,109,164,230,291,363,431,502,578,652,736,807,920,995,1074,1158,1237,1324,1401,1485,1578,1655,1739,1829,1920,1999,2084,2171,2256]
[100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000]
[17,41,72,112,148,189,238,284,334,382,432,478,529,577,635,679,737,794,854,896,944,1003,1056,1109,1164,1214,1277,1334,1387,1447]
